Nr,Status,Vraag NL,Antwoord,Bron,Artikel,Bewijszin,Toelichting,Gevonden via
44,bevestigd,Hoeveel centimeter breed is de Mona Lisa?,53,https://nl.wikipedia.org/wiki/Mona_Lisa,Mona Lisa,| breedte = 53,"infobox-veld ""breedte"" bevat het antwoord",artikel: Mona Lisa
58,niet gevonden,Hoeveel witte toetsen heeft een concertpiano?,52,,,,,
59,niet gevonden,Hoeveel kilometer per uur is de geluidssnelheid op zeeniveau afgerond?,1234,,,,,
61,bevestigd,Hoe hoog is de Euromast in Rotterdam?,185,https://nl.wikipedia.org/wiki/Rotterdam,Rotterdam,"In 1970 werd de Euromast verhoogd door de toevoeging van een Space Tower, waarmee de totale hoogte op 185 meter kwam.",getal staat in een zin over het onderwerp,artikel: Rotterdam
62,niet gevonden,Hoeveel kilometer fietst een Nederlander gemiddeld per jaar?,1065,,,,,
66,niet gevonden,Hoe groot was het grootste permanente IMAX-scherm in vierkante meter?,815,,,,,
67,niet gevonden,Hoe lang duurde de langste voetbalwedstrijd ooit in minuten?,203,,,,,
68,niet gevonden,Hoe lang waren de langste mouwen aan een kledingstuk ooit in meters?,51,,,,,
69,niet gevonden,Hoe lang was de langste vrouw ooit in centimeters?,255,,,,,
70,niet gevonden,Hoe zwaar was de zwaarste hamburger ooit in kilogram?,1164,,,,,
71,niet gevonden,Hoe zwaar was de zwaarste pompoen ooit in kilogram?,1247,,,,,
72,niet gevonden,Hoeveel procent van het lichaam was bedekt met tatoeages bij de meest getatoeëerde man?,97,,,,,
74,niet gevonden,Hoeveel LEGO-steentjes worden er wereldwijd per seconde gemaakt?,1300,,,,,
75,niet gevonden,Hoeveel damstenen krijgt iedere speler bij de start van een standaard damspel?,20,,,,,
95,niet gevonden,Wat is de totale lengte van alle onderzeese internetkabels op aarde in duizend kilometer?,1400,,,,,
104,niet gevonden,Hoeveel is de som van de getallen 1 tot en met 100?,5050,,,,,
105,niet gevonden,Hoeveel manieren kun je 3 renners op een podium van 8 deelnemers indelen?,336,,,,,
147,niet gevonden,Hoeveel stappen per dag is de vaak geciteerde streefwaarde?,10000,,,,,
156,niet gevonden,Hoeveel kilometer diep kan de potvis duiken?,2000,,,,,
157,niet gevonden,Hoeveel kilometer legt de Noordse stern jaarlijks trekafstand af?,70000,,,,,
175,niet gevonden,Hoeveel landen zijn lid van de G20?,19,,,,,
186,bevestigd,Hoeveel gram weegt een standaard Mars reep?,51,https://nl.wikipedia.org/wiki/Mars_%28reep%29,Mars (reep),51 gram.,getal staat bij het gevraagde maatwoord,artikel: gram mars reep
