nederlands	engels
Hoeveel seizoenen van The Simpsons waren er uitgezonden (stand 2026)?	How many seasons of The Simpsons had aired (as of 2026)?
Hoeveel vogelsoorten telt Colombia, het land met de meeste ter wereld?	How many bird species are found in Colombia, the country with the most in the world?
Hoeveel duizend bladzijden telt het Woordenboek der Nederlandsche Taal?	How many thousand pages does the Woordenboek der Nederlandsche Taal contain?
Hoeveel verdiepingen heeft de BD Bacatá in Bogotá?	How many floors does BD Bacatá in Bogotá have?
Hoeveel meter hoog is Uluru?	How many metres high is Uluru?
Hoeveel delen CO₂ per miljoen delen lucht mat NASA in 2024?	How many parts of CO₂ per million parts of air did NASA measure in 2024?
Hoeveel eilanden telt Indonesië officieel (2024)?	How many islands did Indonesia officially have in 2024?
Hoeveel soldaten telde het Britse leger bij de Slag bij Waterloo ongeveer?	How many soldiers were in the British army at the Battle of Waterloo, approximately?
Hoeveel vakjes heeft een standaard Mens-erger-je-niet-bord?	How many spaces does a standard Mens-erger-je-niet board have?
Hoeveel meter hoog is de Sydney Tower?	How many metres high is Sydney Tower?
Hoeveel duizend inwoners heeft Rotterdam?	How many thousand inhabitants does Rotterdam have?
Hoeveel geboden telt de Thora volgens de miswot-telling?	How many commandments does the Torah contain according to the mitzvot count?
Hoeveel meter diep kan de potvis duiken?	How many metres deep can a sperm whale dive?
Hoeveel kaassoorten produceert Frankrijk ongeveer?	How many varieties of cheese does France produce, approximately?
Hoeveel procent van de Nederlanders woont in de Randstad?	What percentage of people in the Netherlands live in the Randstad?
Hoeveel kilogram weegt een volwassen mannelijke Amerikaanse bizon?	How many kilograms does an adult male American bison weigh?
Hoeveel UNESCO-werelderfgoedlocaties heeft Duitsland (stand 2026)?	How many UNESCO World Heritage Sites does Germany have (as of 2026)?
In welk jaar werd Nelson Mandela vrijgelaten uit de gevangenis?	In what year was Nelson Mandela released from prison?
Hoeveel meter lang is de Golden Gate Bridge?	How many metres long is the Golden Gate Bridge?
In welk jaar werd Mexico onafhankelijk van Spanje?	In what year did Mexico gain independence from Spain?
Hoeveel mensen bezochten de Wereldtentoonstelling van 1889 in Parijs?	How many people visited the 1889 World's Fair in Paris?
Hoeveel ton ijzer werd gebruikt voor de Eiffeltoren?	How many tonnes of iron were used to build the Eiffel Tower?
Hoeveel nationale parken telt de Verenigde Staten?	How many national parks are there in the United States?
Hoeveel meter hoog is de Elizabeth Tower, de toren van Big Ben?	How many metres high is Elizabeth Tower, the tower that houses Big Ben?
In welk jaar werd Bolivia onafhankelijk van Spanje?	In what year did Bolivia gain independence from Spain?
Hoeveel meter hoog is de Cairo Tower?	How many metres high is Cairo Tower?
Hoeveel kilogram rundvlees eet een Argentijn per jaar?	How many kilograms of beef does an Argentinian eat per year?
