nr	modus	vraag	bestandsnaam	wikipedia-artikel
87	daily	Hoeveel letters heeft het Thaise alfabet?	Flag of Thailand.svg	Thailand
106	daily	Hoeveel bloedgroepen kent het ABO-systeem?	ABO blood type.svg	Bloedgroep
237	daily	Hoeveel meter lang is het Millauviaduct in Frankrijk?	Flag of France.svg	Frankrijk
260	daily	Hoeveel deelstaten telt Duitsland?	Flag of Germany.svg	Duitsland
291	daily	Hoeveel officiële inwoners heeft Vaticaanstad?	Flag of Vatican City (2023–present).svg	Vaticaanstad
350	daily	Hoeveel graden heeft een volledige cirkel?	Kreis.svg	Cirkel
478	daily	Hoeveel Pokémon telt de eerste generatie, de Kanto Pokédex?	International Pokémon logo.svg	Pokémon
641	daily	Hoeveel jaar kan een reuzenschildpad ongeveer oud worden?	Tortuga gigante de San Cristóbal (Chelonoidis chathamensis), isla Santa Cruz, islas Galápagos, Ecuador, 2015-07-26, DD 16.JPG	Galapagosreuzenschildpad
770	daily	Hoeveel piramides telt Egypte ongeveer?	Flag of Egypt.svg	Egypte (land)
792	daily	Hoeveel meter hoog is de Grote Piramide van Gizeh nu?	Kheops-Pyramid.jpg	Piramide van Cheops
801	daily	Hoeveel meter hoog is kasteel Neuschwanstein?	Schloss Neuschwanstein 2013.jpg	Slot Neuschwanstein
923	daily	Hoeveel landen telt Azië?	Asia (orthographic projection) without New Guinea.svg	Azië
1033	daily	In welk jaar viel Japan de Amerikaanse vlootbasis Pearl Harbor aan?	Pearl Harbor 1941 nl.svg	Aanval op Pearl Harbor
1047	daily	In welk jaar werd Mexico onafhankelijk van Spanje?	Flag of Spain.svg	Spanje
1090	daily	Hoeveel delen CO₂ per miljoen delen lucht mat NASA in 2024?	NASA logo.svg	National Aeronautics and Space Administration
1106	daily	Hoeveel Grammys won Beyoncé in totaal tot 2023?	Beyoncé - Tottenham Hotspur Stadium - 1st June 2023 (71 of 118) (52945301662) (face cropped).jpg	Beyoncé
1133	daily	Hoeveel symfonieën schreef Mozart?	Wolfgang-amadeus-mozart 1.jpg	Wolfgang Amadeus Mozart
1250	daily	Hoeveel miljoen inwoners heeft India?	Flag of India.svg	India
1257	daily	Hoeveel kiesmannen zijn er nodig om de Amerikaanse presidentsverkiezing te winnen?	Flag of the United States.svg	Verenigde Staten
1308	daily	Hoe zwaar was de grootste portie friet ooit in kilogram?	Fries 2.jpg	Friet
1466	daily	In welk jaar werd Microsoft Word voor het eerst uitgebracht?	Microsoft Office Word (2025–present).svg	Microsoft Word
3	puzzel	Hoeveel miljard neuronen (zenuwcellen) bevat het menselijk brein naar schatting?	BREIN logo.svg	BREIN
5	puzzel	Hoeveel hoofdstukken bevat The Hobbit?	The Hobbit - title page of first American print.jpg	De Hobbit
6	puzzel	Hoeveel dagen telt een schrikkeljaar?	Leap Day.svg	Schrikkeljaar
8	puzzel	Hoeveel kilogram weegt de tong van een blauwe vinvis ongeveer?	Blue Whale 001 noaa body color.jpg	Blauwe vinvis
12	puzzel	Hoeveel gram suiker zit er in een blikje Coca-Cola van 330 ml?	15-09-26-RalfR-WLC-0098 - Coca-Cola glass bottle (Germany).jpg	Coca-Cola
14	puzzel	Hoeveel afleveringen telt de iconische serie Fawlty Towers?	Fawlty Towers west end stage 2024.jpg	Fawlty Towers
15	puzzel	Hoeveel afleveringen telt de serie Breaking Bad?	Breaking Bad official logo.svg	Breaking Bad
16	puzzel	Hoeveel Muzen (dochters van Zeus) telt de Griekse mythologie?	Flag of Greece.svg	Griekenland
