Nr,Vraag NL,Ons antwoord,Eigenschap,Onderwerp,Wikidata-item,Wikidata-waarde,Peiljaar,Oordeel,Afwijking,Bron
14,Hoeveel afleveringen telt de iconische serie Fawlty Towers?,12,P1113 (aantal afleveringen),Fawlty Towers,Fawlty Towers,12.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q212731
15,Hoeveel afleveringen telt de serie Breaking Bad?,62,P1113 (aantal afleveringen),Breaking Bad,Breaking Bad,62.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q1079
20,Hoeveel meter hoog is de CN Tower?,553,P2048 (hoogte),CN Tower,CN Tower,447.0,,WIJKT AF,23.7%,https://www.wikidata.org/wiki/Q134883
31,Hoeveel kilometer lang is het Baikalmeer ongeveer?,636,P2043 (lengte),Baikalmeer,Baikalmeer,636000.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q5513
34,Hoeveel meter hoog is Angel Falls ongeveer?,979,P2048 (hoogte),Angel Falls,Ángelwaterval,979.0,,ander onderwerp,,https://www.wikidata.org/wiki/Q80299
96,Hoeveel meter hoog is de Golden Gate Bridge boven het water?,227,P2048 (hoogte),Golden Gate Bridge,Golden Gate Bridge,227.38080000000002,,klopt,0.2%,https://www.wikidata.org/wiki/Q44440
195,Hoeveel afleveringen telt de Amerikaanse versie van The Office?,201,P1113 (aantal afleveringen),Amerikaanse,Amerikaanse dollar,,,geen waarde,,https://www.wikidata.org/wiki/Q4917
196,Hoeveel afleveringen telt de originele Britse serie The Office (inclusief specials)?,14,P1113 (aantal afleveringen),The Office,The Office US,204.0,,WIJKT AF,93.1%,https://www.wikidata.org/wiki/Q23831
197,Hoeveel afleveringen telt de serie Friends in totaal?,236,P1113 (aantal afleveringen),Friends,Friends,236.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q79784
198,Hoeveel afleveringen telt de serie Game of Thrones?,73,P1113 (aantal afleveringen),Game of Thrones,Game of Thrones,73.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q23572
199,Hoeveel afleveringen telt de serie Seinfeld?,180,P1113 (aantal afleveringen),Seinfeld,Seinfeld,180.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q23733
206,Hoeveel seizoenen heeft The Sopranos?,6,P2437 (aantal seizoenen),The Sopranos,The Sopranos,6.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q23628
207,Hoeveel seizoenen telt The Simpsons?,35,P2437 (aantal seizoenen),The Simpsons,The Simpsons,37.0,,bijna,5.4%,https://www.wikidata.org/wiki/Q886
225,"Hoeveel kilogram weegt de Great Bell, de grote klok van Big Ben?",13700,P2067 (massa),Great Bell,Big Ben,13700.0,,ander onderwerp,,https://www.wikidata.org/wiki/Q41225
230,Hoeveel meter hoog is One World Trade Center?,541,P2048 (hoogte),One World Trade Center,One World Trade Center,386.5,,WIJKT AF,40.0%,https://www.wikidata.org/wiki/Q11245
231,Hoeveel meter hoog is Taipei 101?,508,P2048 (hoogte),Taipei,Taipei,,,geen waarde,,https://www.wikidata.org/wiki/Q1867
232,Hoeveel meter hoog is het Empire State Building inclusief antenne?,443,P2048 (hoogte),Empire State Building,Empire State Building,457.20000000000005,,bijna,3.1%,https://www.wikidata.org/wiki/Q9188
233,Hoeveel meter hoog is het hoogste punt van het Millauviaduct?,343,P2048 (hoogte),Millauviaduct,,,,geen waarde,,
234,Hoeveel meter hoog zijn de torens van de Brooklyn Bridge?,84,P2048 (hoogte),Brooklyn Bridge,Brooklyn Bridge,84.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q125006
235,Hoeveel meter lang is de Akashi Kaikyōbrug in Japan?,3911,P2043 (lengte),Akashi Kaikyōbrug,,,,geen waarde,,
236,Hoeveel meter lang is de Brooklyn Bridge?,1825,P2043 (lengte),Brooklyn Bridge,Brooklyn Bridge,1825.4472,,klopt,0.0%,https://www.wikidata.org/wiki/Q125006
237,Hoeveel meter lang is het Millauviaduct in Frankrijk?,2460,P2043 (lengte),Millauviaduct,,,,geen waarde,,
264,Hoeveel inwoners heeft Monaco?,39000,P1082 (inwonertal),Monaco,Monaco,38857.0,2025,klopt,0.4%,https://www.wikidata.org/wiki/Q235
265,Hoeveel kilometer lang is Japan van noord naar zuid ongeveer?,3000,P2043 (lengte),Japan van,Japan van A tot Z,,,geen waarde,,https://www.wikidata.org/wiki/Q597645
266,Hoeveel kilometer lang is de Grand Canyon ongeveer?,446,P2043 (lengte),Grand Canyon,Grand Canyon,445788.288,,klopt,0.0%,https://www.wikidata.org/wiki/Q118841
267,Hoeveel kilometer lang is de Mississippi ongeveer?,3766,P2043 (lengte),Mississippi,Mississippi,,,geen waarde,,https://www.wikidata.org/wiki/Q1494
268,Hoeveel kilometer lang is de Yangtze ongeveer?,6300,P2043 (lengte),Yangtze,Jangtsekiang,6300000.0,,ander onderwerp,,https://www.wikidata.org/wiki/Q5413
269,Hoeveel kilometer lang is de kustlijn van Japan ongeveer?,29750,P2043 (lengte),Japan,Japan,,,geen waarde,,https://www.wikidata.org/wiki/Q17
270,"Hoeveel kilometer lang is de kustlijn van Noorwegen ongeveer, inclusief eilanden?",25000,P2043 (lengte),Noorwegen,Noorwegen,,,geen waarde,,https://www.wikidata.org/wiki/Q20
271,"Hoeveel kilometer lang is de langste grot ter wereld, Mammoth Cave, ongeveer?",685,P2043 (lengte),Mammoth Cave,Mammoth Cave National Park,,,geen waarde,,https://www.wikidata.org/wiki/Q242681
272,Hoeveel kilometer lang is het Great Barrier Reef ongeveer?,2300,P2043 (lengte),Great Barrier Reef,Groot Barrièrerif,2300000.0,,ander onderwerp,,https://www.wikidata.org/wiki/Q7343
273,Hoeveel kilometer lang is het Himalayagebergte ongeveer?,2500,P2043 (lengte),Himalayagebergte,Himalaya,2400000.0,,ander onderwerp,,https://www.wikidata.org/wiki/Q5451
274,Hoeveel kilometer lang is het Victoriameer ongeveer?,337,P2043 (lengte),Victoriameer,Victoriameer,337000.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q5505
297,Hoeveel vierkante kilometer is Antarctica ongeveer groot?,14200000,P2046 (oppervlakte),Antarctica,Antarctica,13720000000000.0,,bijna,3.5%,https://www.wikidata.org/wiki/Q51
298,Hoeveel vierkante kilometer is de Noordzee ongeveer groot?,575000,P2046 (oppervlakte),Noordzee,Noordzee,570000000000.0,,klopt,0.9%,https://www.wikidata.org/wiki/Q1693
299,Hoeveel vierkante kilometer is de Sahara ongeveer groot?,9200000,P2046 (oppervlakte),Sahara,Sahara,9200000000000.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q6583
300,Hoeveel vierkante kilometer is de oppervlakte van IJsland ongeveer?,103000,P2046 (oppervlakte),IJsland,IJsland,103004000000.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q189
301,Hoeveel vierkante kilometer is de oppervlakte van Japan ongeveer?,378000,P2046 (oppervlakte),Japan,Japan,377972280000.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q17
302,Hoeveel vierkante kilometer is het Arctische zee-ijs in de zomer ongeveer minimaal?,4000000,P2046 (oppervlakte),Arctische,Noordelijke IJszee,14056000000000.0,,ander onderwerp,,https://www.wikidata.org/wiki/Q788
320,"Hoeveel kilometer lang was de Romeinse rijksgrens, de Roman Limes, volgens UNESCO ongeveer?",5000,P2043 (lengte),Roman Limes,Romeinse limes,,,geen waarde,,https://www.wikidata.org/wiki/Q146924
352,Hoeveel meter hoog is het Vrijheidsbeeld inclusief voetstuk?,93,P2048 (hoogte),Vrijheidsbeeld,Vrijheidsbeeld,47.0,,WIJKT AF,97.9%,https://www.wikidata.org/wiki/Q9202
383,Hoeveel meter lang was de langste trouwjurkstaart volgens Guinness World Records?,8100,P2043 (lengte),Guinness World Records,Guinness Book of Records,,,geen waarde,,https://www.wikidata.org/wiki/Q41675
412,Hoeveel kilometer lang is de Nederlandse kustlijn ongeveer?,1500,P2043 (lengte),Nederlandse,Nederlands,,,geen waarde,,https://www.wikidata.org/wiki/Q7411
450,Hoeveel kilogram weegt een gemiddeld stenen blok van de Piramide van Cheops?,2500,P2067 (massa),Piramide van Cheops,Piramide van Cheops,,,geen waarde,,https://www.wikidata.org/wiki/Q37200
570,Hoeveel kilometer lang is de Kanaaltunnel?,50,P2043 (lengte),Kanaaltunnel,Kanaaltunnel,50450.0,,klopt,0.9%,https://www.wikidata.org/wiki/Q10257
571,Hoeveel kilometer lang is het Suezkanaal?,193,P2043 (lengte),Suezkanaal,Suezkanaal,193300.0,,klopt,0.2%,https://www.wikidata.org/wiki/Q899
574,Hoeveel meter lang is een Airbus A380 ongeveer?,73,P2043 (lengte),Airbus A380,Airbus A380,72.72,,klopt,0.4%,https://www.wikidata.org/wiki/Q5830
645,Hoeveel kilogram weegt een volwassen mannetjesolifant in Afrika?,6000,P2067 (massa),Afrika,Afrika,,,geen waarde,,https://www.wikidata.org/wiki/Q15
646,Hoeveel kilogram weegt een volwassen Aziatische olifant?,4000,P2067 (massa),Aziatische,Azië,,,geen waarde,,https://www.wikidata.org/wiki/Q48
647,Hoeveel kilogram weegt een volwassen mannelijke Bengaalse tijger?,220,P2067 (massa),Bengaalse,Bengaalse Wikipedia,,,geen waarde,,https://www.wikidata.org/wiki/Q427715
663,Hoeveel meter lang wordt een Afrikaanse olifant?,7,P2043 (lengte),Afrikaanse,Afrikaanse Wikipedia,,,geen waarde,,https://www.wikidata.org/wiki/Q766705
690,Hoeveel kilogram weegt een volwassen mannelijke Amerikaanse bizon?,900,P2067 (massa),Amerikaanse,Amerikaanse dollar,,,geen waarde,,https://www.wikidata.org/wiki/Q4917
740,Hoeveel afleveringen heeft de miniserie Chernobyl?,5,P1113 (aantal afleveringen),Chernobyl,Tsjernobyl,,,geen waarde,,https://www.wikidata.org/wiki/Q129677
743,Hoeveel seizoenen heeft Breaking Bad?,5,P2437 (aantal seizoenen),Breaking Bad,Breaking Bad,5.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q1079
744,Hoeveel seizoenen heeft de serie Friends?,10,P2437 (aantal seizoenen),Friends,Friends,10.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q79784
745,Hoeveel seizoenen telde de serie The Office US?,9,P2437 (aantal seizoenen),The Office US,The Office US,9.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q23831
747,Hoeveel minuten duurt de film Avatar: The Way of Water?,192,P2047 (speelduur),The Way of Water,The Way of Water: Unravelling White Spot Syndrome Virus (WSSV) Transmission Dynamics in Litopenaeus vannamei Shrimp,,,geen waarde,,https://www.wikidata.org/wiki/Q137166904
778,Hoeveel kilometer lang is de Golden Gate Bridge hoofdspanssegment?,1280,P2043 (lengte),Golden Gate Bridge,Golden Gate Bridge,2737.4088,,WIJKT AF,46659.5%,https://www.wikidata.org/wiki/Q44440
779,Hoeveel kilometer lang is de Grote Muur van China volgens de officiële meting?,21196,P2043 (lengte),Grote Muur van China,,,,geen waarde,,
780,Hoeveel kilometer lang is het metronet van Mexico-Stad?,226,P2043 (lengte),Mexico-Stad,Mexico-Stad,,,geen waarde,,https://www.wikidata.org/wiki/Q1489
781,Hoeveel kilometer lang is het Suezkanaal?,193,P2043 (lengte),Suezkanaal,Suezkanaal,193300.0,,klopt,0.2%,https://www.wikidata.org/wiki/Q899
784,Hoeveel kilometer lang was Route 66?,3945,P2043 (lengte),Route,weg,,,geen waarde,,https://www.wikidata.org/wiki/Q34442
786,"Hoeveel meter hoog is de Elizabeth Tower, de toren van Big Ben?",96,P2048 (hoogte),Elizabeth Tower,Big Ben,96.0,,ander onderwerp,,https://www.wikidata.org/wiki/Q41225
787,Hoeveel meter hoog is het Christus Verlosser-beeld zonder sokkel?,30,P2048 (hoogte),Christus Verlosser-beeld,,,,geen waarde,,
789,Hoeveel meter hoog is de Christus Redentor standbeeld (met sokkel)?,40,P2048 (hoogte),Christus Redentor,,,,geen waarde,,
790,Hoeveel meter hoog is de Christus de Verlosser inclusief sokkel?,38,P2048 (hoogte),Christus de Verlosser,Christus de Verlosser,8.0,,WIJKT AF,375.0%,https://www.wikidata.org/wiki/Q79961
791,Hoeveel meter hoog is de Eiffeltoren met antenne?,330,P2048 (hoogte),Eiffeltoren,Eiffeltoren,330.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q243
792,Hoeveel meter hoog is de Grote Piramide van Gizeh nu?,139,P2048 (hoogte),Grote Piramide van Gizeh,Piramide van Cheops,146.7,,bijna,5.2%,https://www.wikidata.org/wiki/Q37200
793,Hoeveel meter hoog is de Petronas Twin Tower?,452,P2048 (hoogte),Petronas Twin Tower,Petronas Twin Towers,452.01840000000004,,klopt,0.0%,https://www.wikidata.org/wiki/Q83063
794,Hoeveel meter hoog is de Shanghai Tower?,632,P2048 (hoogte),Shanghai Tower,Shanghai Tower,632.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q18547
795,Hoeveel meter hoog is de Shanghai Tower?,632,P2048 (hoogte),Shanghai Tower,Shanghai Tower,632.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q18547
796,Hoeveel meter hoog is de Sydney Tower?,309,P2048 (hoogte),Sydney Tower,Sydney Tower,306.0,,klopt,1.0%,https://www.wikidata.org/wiki/Q827268
797,Hoeveel meter hoog is de Taj Mahal?,73,P2048 (hoogte),Taj Mahal,Taj Mahal,73.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q9141
798,Hoeveel meter hoog is de Tokyo Tower?,333,P2048 (hoogte),Tokyo Tower,Tokiotoren,332.6,,ander onderwerp,,https://www.wikidata.org/wiki/Q183536
799,Hoeveel meter hoog is de Cairo Tower?,187,P2048 (hoogte),Cairo Tower,Cairo Tower,187.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q614684
801,Hoeveel meter hoog is kasteel Neuschwanstein?,65,P2048 (hoogte),Neuschwanstein,Slot Neuschwanstein,65.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q4152
802,Hoeveel meter lang is de Golden Gate Bridge?,2737,P2043 (lengte),Golden Gate Bridge,Golden Gate Bridge,2737.4088,,klopt,0.0%,https://www.wikidata.org/wiki/Q44440
803,Hoeveel meter lang is de langste overspanning van de Akashi Kaikyōbrug?,1991,P2043 (lengte),Akashi Kaikyōbrug,,,,geen waarde,,
818,Hoeveel ton weegt de Eiffeltoren in totaal?,10100,P2067 (massa),Eiffeltoren,Eiffeltoren,10100000.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q243
838,Hoeveel duizend inwoners heeft Luxemburg?,660,P1082 (inwonertal),Luxemburg,Luxemburg,690959.0,2026,bijna,4.5%,https://www.wikidata.org/wiki/Q32
852,Hoeveel kilometer lang is de Andes ongeveer?,7000,P2043 (lengte),Andes,Andes,7000000.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q5456
854,Hoeveel kilometer lang is de Donau?,2850,P2043 (lengte),Donau,Donau,2850000.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q1653
855,Hoeveel kilometer lang is de Ganges?,2525,P2043 (lengte),Ganges,Ganges,2525000.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q5089
858,Hoeveel kilometer lang is de Grote Muur van China ongeveer?,21196,P2043 (lengte),Grote Muur van China,,,,geen waarde,,
860,Hoeveel kilometer lang is de Kongo?,4700,P2043 (lengte),Kongo,Kongo,4700000.0,,klopt,0.0%,https://www.wikidata.org/wiki/Q3503
