Nr,Vraag NL,Zoekterm,Commons-bestandspagina,Afbeelding,Licentie,Maker,Alternatieven
1,Hoeveel chromosomen heeft een gewone ui Allium cepa in een lichaamscel?,Allium,https://commons.wikimedia.org/wiki/File%3AAllium_schoenoprasum_%28Bieslook%29._actm.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/53/Allium_schoenoprasum_%28Bieslook%29._actm.jpg/1280px-Allium_schoenoprasum_%28Bieslook%29._actm.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Agnes Monkelbaan,8
3,Hoeveel miljard neuronen (zenuwcellen) bevat het menselijk brein naar schatting?,contain human brain,https://commons.wikimedia.org/wiki/File%3AHuman_brain_lateral_view_description_2.JPG,https://upload.wikimedia.org/wikipedia/commons/6/68/Human_brain_lateral_view_description_2.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY 2.5,"John A Beal, PhD 

Dep't. of Cellular Biology &amp; Anatomy, Louisiana State University Health Sciences Center Shrevepor",8
4,In welk jaar werd het eerste succesvolle vaccin ontwikkeld?,successful vaccine developed,https://commons.wikimedia.org/wiki/File%3ASmallpox_vaccine.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/95/Smallpox_vaccine.jpg/1280px-Smallpox_vaccine.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,"Photo Credit: James Gathany
Content Providers(s): CDC",8
5,Hoeveel hoofdstukken bevat The Hobbit?,The Hobbit,https://commons.wikimedia.org/wiki/File%3AThe_Hobbit_-_title_page_of_first_American_print.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e7/The_Hobbit_-_title_page_of_first_American_print.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,Strebe at English Wikipedia,8
6,Hoeveel dagen telt een schrikkeljaar?,days leap,https://commons.wikimedia.org/wiki/File%3AThe_Leap%2C_Hardly_Olympic_standard_these_days%5E%5E%5E_-_geograph.org.uk_-_181045.jpg,https://upload.wikimedia.org/wikipedia/commons/6/69/The_Leap%2C_Hardly_Olympic_standard_these_days%5E%5E%5E_-_geograph.org.uk_-_181045.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 2.0,Des Colhoun,8
7,Hoeveel kilo weegt een koningspinguin?,king penguin weigh,https://commons.wikimedia.org/wiki/File%3AKing_Penguin._Calgary_Zoo._%2820488786982%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ee/King_Penguin._Calgary_Zoo._%2820488786982%29.jpg/1280px-King_Penguin._Calgary_Zoo._%2820488786982%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,"Bernard Spragg. NZ from Christchurch, New Zealand",4
8,Hoeveel kilogram weegt de tong van een blauwe vinvis ongeveer?,whale's tongue weigh,https://commons.wikimedia.org/wiki/File%3AArchiteuthis_dux_-_Smithsonain_Museum.JPG,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/65/Architeuthis_dux_-_Smithsonain_Museum.JPG/1280px-Architeuthis_dux_-_Smithsonain_Museum.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 2.0,Tim Evanson,6
9,Hoeveel kilometer per uur zwemt een dolfijn op zijn snelst?,hour dolphin swim,https://commons.wikimedia.org/wiki/File%3ADolphin_making_a_big_splash._%2812026544604%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/af/Dolphin_making_a_big_splash._%2812026544604%29.jpg/1280px-Dolphin_making_a_big_splash._%2812026544604%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,"Bernard Spragg. NZ from Christchurch, New Zealand",8
11,Hoeveel gram eiwit bevat een Amerikaanse McDonald’s Big Mac?,American McDonald... Big,https://commons.wikimedia.org/wiki/File%3ABig_America_McDonalds_Israel.jpg,https://upload.wikimedia.org/wikipedia/commons/8/86/Big_America_McDonalds_Israel.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 4.0,McDonalds Israel,8
12,Hoeveel gram suiker zit er in een blikje Coca-Cola van 330 ml?,Coca-Cola,https://commons.wikimedia.org/wiki/File%3ACoca-cola_50cl_can_-_Italia.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/2f/Coca-cola_50cl_can_-_Italia.jpg/1280px-Coca-cola_50cl_can_-_Italia.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,M0tty,8
