excel_row,Categorie,Vraag NL,Antwoord
1249,Technologie,In welk jaar lanceerde Japan de Shinkansen hogesnelheidstrein?,1964
1250,Technologie,Hoeveel kilometer per uur rijdt de Shanghai Maglev trein (afgerond op tientallen)?,430
1251,Politiek en recht,Hoeveel leden telt de ASEAN-organisatie (2024)?,10
1252,Politiek en recht,Hoeveel leden telt de SAARC organisatie?,8
1253,Politiek en recht,Hoeveel provincies heeft Indonesië (2024)?,38
1254,Politiek en recht,Hoeveel emiraten heeft Saoedi-Arabië als koninkrijk in bestuurlijke regio (provincies)?,13
1255,Politiek en recht,Hoeveel Chinezen wonen er in China bij benadering (in miljarden afgerond op halve)?,1
1256,Politiek en recht,Hoeveel Indiërs wonen er in India bij benadering (in miljarden)?,1
1257,Geografie,Hoeveel landen liggen er aan de Middellandse Zee (Noord-Afrika + Europa + Azië)?,22
1258,Geografie,Hoeveel Afrikaanse landen grenzen aan de Middellandse Zee?,6
1259,Geografie,Hoeveel Afrikaanse landen grenzen aan de Atlantische Oceaan bij benadering (in tientallen afgerond)?,20
1260,Geografie,Hoeveel kilometer lang is de Nijl rivier bij benadering (in duizenden km afgerond)?,7
1261,Geografie,Hoeveel landen heeft de Nijl als bron of doorstroom bij benadering (in tientallen afgerond)?,10
1262,Geografie,Hoeveel vierkante kilometer beslaat de Sahara bij benadering (in miljoenen km² afgerond)?,9
1263,Geografie,Hoeveel landen heeft de Sahara deels in zijn gebied bij benadering (in tientallen afgerond)?,10
1264,Geografie,Hoeveel meter hoog is de Kilimanjaro (Uhuru Peak) afgerond op honderdtallen?,5900
1265,Geografie,Hoeveel kilometer lang is de Kalahari woestijn bij benadering (in honderden km afgerond)?,900
1266,Geografie,Hoeveel landen telt de Sahel-regio bij benadering (in tientallen afgerond)?,10
1267,Geografie,Hoeveel eilandstaten telt Afrika?,6
1268,Gebouwen en infrastructuur,Hoeveel meter hoog is de Grote Piramide van Gizeh afgerond op tientallen?,140
1269,Gebouwen en infrastructuur,Hoeveel meter hoog is de Toren van Caïro (Cairo Tower) afgerond op tientallen?,190
1270,Gebouwen en infrastructuur,Hoeveel piramides telt het piramideveld van Gizeh (de drie grote)?,3
1271,Gebouwen en infrastructuur,Hoeveel bekende piramides telt Egypte in totaal bij benadering (in tientallen afgerond)?,120
1272,Gebouwen en infrastructuur,Hoeveel kilometer lang is de Suezkanaal (in tientallen km afgerond)?,190
1273,Gebouwen en infrastructuur,Hoeveel jaar duurde de bouw van de Grote Sfinx bij benadering (in tientallen jaar afgerond)?,20
1274,Geschiedenis,In welk jaar werd Nelson Mandela vrijgelaten uit de gevangenis?,1990
1275,Geschiedenis,In welk jaar werd Zuid-Afrika officieel anti-apartheid democratie met Mandela als president?,1994
1276,Geschiedenis,In welk jaar werd Egypte officieel onafhankelijk van Groot-Brittannië?,1922
1277,Geschiedenis,In welk jaar viel Carthago aan de Romeinen tijdens de Derde Punische Oorlog?,146
1278,Geschiedenis,Hoeveel jaar duurde de apartheid in Zuid-Afrika (1948-1994)?,46
1279,Geschiedenis,Hoeveel Wonderen van de Oude Wereld stonden er in Egypte?,1
1280,Geschiedenis,Hoeveel jaar regeerde Cleopatra VII bij benadering (in tientallen jaar afgerond)?,20
1281,Dieren,Hoeveel dieren bevat de klassieke Big Five van Afrika?,5
1282,Dieren,Hoeveel kilometer per uur kan een cheetah sprinten (afgerond op tientallen)?,110
1283,Dieren,Hoeveel kilogram weegt een volwassen Afrikaanse olifant mannetje afgerond op duizendtallen?,6000
1284,Dieren,Hoeveel kilogram weegt een volwassen Nijlpaard afgerond op honderdtallen?,1500
1285,Dieren,Hoeveel meter lang kan een volwassen Nijlkrokodil worden afgerond op halve meters?,5
1286,Dieren,Hoeveel procent van de leeuwenpopulatie leeft in Sub-Sahara Afrika (afgerond op tientallen)?,90
1287,Dieren,Hoeveel bijenkorven producert de gemiddelde Ethiopische bijenhouder per jaar?,0
1288,Geografie,Hoeveel meter hoog is de Victoriawatervallen afgerond op tientallen?,110
1289,Geografie,Hoeveel meter breed is de Victoriawatervallen bij benadering (in honderden meters afgerond)?,1700
1290,Milieu en duurzaamheid,Hoeveel procent van de Sahara was ooit groen tijdens de Groene Sahara periode (afgerond op tientallen)?,100
1291,Eten & drinken,Hoeveel landen produceren koffie in Afrika bij benadering (in tientallen afgerond)?,30
1292,Eten & drinken,Hoeveel kilogram koffie produceert Ethiopië jaarlijks bij benadering (in miljoenen kilogram afgerond op honderdtallen)?,400
1293,Muziek,Hoeveel snaren heeft de West-Afrikaanse kora bij benadering (in tientallen)?,20
1294,Muziek,Hoeveel snaren heeft de klassieke Afrikaanse kora traditioneel?,21
1295,Muziek,Hoeveel snaren heeft de West-Afrikaanse djembé als trommel?,0
1296,Politiek en recht,Hoeveel landen zijn lid van de Afrikaanse Unie (2024)?,55
1297,Politiek en recht,Hoeveel landen gebruiken de West-Afrikaanse CFA frank bij benadering (in tientallen afgerond)?,10
1298,Politiek en recht,Hoeveel landen gebruiken de Centraal-Afrikaanse CFA frank?,6
1299,Geografie,Hoeveel territoria heeft Australië naast de staten?,2
1300,Geografie,Hoeveel provincies heeft Nieuw-Zeeland bij benadering (in tientallen afgerond - regions)?,20
1301,Geografie,Hoeveel hoofdeilanden heeft Nieuw-Zeeland?,2
