Categorie,Vraag NL,Antwoord,Bron EN,Status,excel_row
Nederlands,Hoeveel inwoners heeft Amsterdam ongeveer in duizendtallen (2024)?,930,,nieuw-2026-09,984
Nederlands,Hoeveel biljarten heeft het Binnenhof te Den Haag traditioneel?,3,,nieuw-2026-09,985
Nederlands,Hoeveel meter hoog is de Domtoren in Utrecht?,112,,nieuw-2026-09,986
Nederlands,"Hoeveel wilde knuffels passen er in het themapark de Efteling qua attracties, afgerond op tientallen (2024)?",40,,nieuw-2026-09,987
Nederlands,Hoeveel terrassen heeft de Euromast in Rotterdam totaal?,2,,nieuw-2026-09,988
Nederlands,Hoeveel gram suiker bevat een standaard reep chocolade van Droste van 100 gram ongeveer?,55,,nieuw-2026-09,989
Nederlands,Hoeveel dagen duurt de Nederlands Dans Theater-productie Stop-Motion doorgaans per seizoensblok?,3,,nieuw-2026-09,990
Nederlands,Hoeveel meter lang is de Maasvlakte²-stormvloedkering maasvlakte (in honderden meters)?,11,,nieuw-2026-09,991
Nederlands,Hoeveel kapstokkaarten telt een standaard Nederlandse Mens-erger-je-niet?,4,,nieuw-2026-09,992
Nederlands,Hoeveel polders telt Flevoland in de klassieke indeling?,2,,nieuw-2026-09,993
Nederlands,Hoeveel grafkelders telt de Grote Kerk van Dordrecht bij benadering (in honderdtallen)?,2,,nieuw-2026-09,994
Nederlands,Hoeveel meter hoog is de Euromast vanaf de grond tot de top van de Space Tower?,185,,nieuw-2026-09,995
Nederlands,Hoeveel spelers zitten er in een Nederlands korfbalteam op het veld?,8,,nieuw-2026-09,996
Nederlands,Hoeveel Hollandse waterlijnen kent de oude Nederlandsche Waterlinie?,3,,nieuw-2026-09,997
Nederlands,Hoeveel bruggen telt het klassieke orkestnummer Bruggetje van Sainte Anneï in de titel niet?,0,,nieuw-2026-09,998
Nederlands,Hoeveel km lang is de Hanzelijn spoorlijn Lelystad-Zwolle afgerond?,50,,nieuw-2026-09,999
Nederlands,Hoeveel kilometer fietspad telt Nederland bij benadering in duizenden kilometers?,37,,nieuw-2026-09,1000
Nederlands,Hoeveel landen grenzen aan Nederland?,2,,nieuw-2026-09,1001
Nederlands,Hoeveel Waddeneilanden behoren tot Nederland?,5,,nieuw-2026-09,1002
Nederlands,Hoeveel dagen duurt de Alvleeskliervlaamse Wielerweek Vredeskoers niet?,0,,nieuw-2026-09,1003
Nederlands,"Hoeveel koppen bevat de Nederlandse driehoek bestuursniveaus (rijk, provincie, gemeente)?",3,,nieuw-2026-09,1004
Nederlands,Hoeveel kinderen heeft koning Willem-Alexander?,3,,nieuw-2026-09,1005
Nederlands,Hoeveel windmolens staan er bij Kinderdijk?,19,,nieuw-2026-09,1006
Nederlands,Hoeveel meter diep is het Zeelandbrug het hoogste punt voor schepen?,16,,nieuw-2026-09,1007
Nederlands,Hoeveel dozen chocoladeletters koopt Nederland gemiddeld per persoon rond Sinterklaas (afgerond)?,1,,nieuw-2026-09,1008
Nederlands,Hoeveel kilometer lang is de Nederlandse kustlijn bij benadering afgerond op honderdtallen?,500,,nieuw-2026-09,1009
Nederlands,Hoeveel miljoen koeien telt Nederland bij benadering?,4,,nieuw-2026-09,1010
Nederlands,Hoeveel musea telt Amsterdam bij benadering (in tientallen)?,80,,nieuw-2026-09,1011
Nederlands,Hoeveel verdiepingen heeft De Rotterdam van architect Rem Koolhaas?,44,,nieuw-2026-09,1012
Nederlands,Hoeveel goals maakte Johan Cruyff gemiddeld per Eredivisieseizoen voor Ajax (afgerond)?,20,,nieuw-2026-09,1013
Nederlands,Hoeveel keer werd Nederland Europees kampioen voetbal bij de mannen?,1,,nieuw-2026-09,1014
Nederlands,Hoeveel keer won Oranje de FIFA World Cup bij de mannen?,0,,nieuw-2026-09,1015
Nederlands,Hoeveel gram weegt een stroopwafel van het merk Daelmans standaard?,32,,nieuw-2026-09,1016
Nederlands,Hoeveel miljard euro is het jaarlijkse Nederlandse defensiebudget 2024 afgerond op tientallen miljarden?,20,,nieuw-2026-09,1017
Nederlands,"Hoeveel universiteiten van de UdK-tier behoren tot de klassieke Nederlandse top-3 (Leiden, Utrecht, Groningen)?",3,,nieuw-2026-09,1018
Nederlands,Hoeveel uur duurt de treinreis Amsterdam-Paris Thalys ongeveer (in hele uren)?,3,,nieuw-2026-09,1019
Nederlands,Hoeveel kilometer lang is de Van Brienenoordbrug hoofdspansegment?,300,,nieuw-2026-09,1020
Nederlands,Hoeveel maanden per jaar telt het Nederlandse voetbalseizoen Eredivisie doorgaans?,9,,nieuw-2026-09,1021
Nederlands,Hoeveel eilanden telt de Nederlandse Antillen in de huidige status van landen?,0,,nieuw-2026-09,1022
Nederlands,Hoeveel banen heeft de Nederlandsche Bank in het monetaire bestuur?,1,,nieuw-2026-09,1023
Nederlands,Hoeveel ritten maakt de Noord-Zuidlijn metro dagelijks bij benadering in honderden?,5,,nieuw-2026-09,1024
Nederlands,Hoeveel graden Kelvin kookt water in Nederlands keukenomgeving afgerond op tientallen?,370,,nieuw-2026-09,1025
Nederlands,Hoeveel km² beslaat de provincie Utrecht ongeveer afgerond op honderdtallen?,1500,,nieuw-2026-09,1026
Nederlands,Hoeveel meter lang is het grootste Nederlands cruiseschip de Rotterdam (in honderden meters)?,3,,nieuw-2026-09,1027
