vlag	nederlands	engels
	Hoeveel artikelen bevat het Handvest van de Verenigde Naties?	How many articles does the United Nations Charter contain?
	Hoeveel harten heeft een octopus?	How many hearts does an octopus have?
GEEN	Hoeveel seizoenen van The Simpsons waren er uitgezonden (stand 2026)?	
	Hoe lang was de langste hond ooit in centimeters?	How long was the tallest dog ever in centimeters?
	Wat is de autorij-afstand van Amsterdam naar Rome in km?	What is the driving distance from Amsterdam to Rome in km?
GEEN	Hoeveel vogelsoorten telt Colombia, het land met de meeste ter wereld?	
	Hoe hoog was de hoogste hond ooit in centimeters?	How high was the tallest dog ever in centimeters?
GEEN	Hoeveel duizend bladzijden telt het Woordenboek der Nederlandsche Taal?	
GEEN	Hoeveel verdiepingen heeft de BD Bacatá in Bogotá?	
	Hoeveel procent van de bekende plant- en diersoorten leeft in tropische regenwouden?	How many percent of known plant and animal species live in tropical rainforests?
	Hoeveel kilometer lang is een marathon?	How many kilometres is a marathon?
	Hoeveel kilometer per uur kunnen de sterkste winden op Neptunus ongeveer bereiken?	How many kilometres per hour can the strongest winds on Neptune reach?
	Hoeveel hertz is de toonhoogte van de standaard a in de muziek?	How much hertz is the pitch of the standard a in the music?
	Hoeveel vakken bevat een standaard Monopoly-bord in totaal?	How many boxes does a standard Monopoly board contain in total?
	Hoeveel EU-landen voerden de euro in bij de start van de euro in 1999?	How many EU countries introduced the euro at the start of the euro in 1999?
	In welk jaar werd Samsung opgericht?	What year was Samsung founded?
	Hoeveel suikerklontjes zitten er volgens de standaardverpakking in een blikje Coca-Cola van 330 ml?	How many sugars are there according to the standard pack in a can of Coca-Cola of 330 ml?
	In welk jaar werd India onafhankelijk van Groot-Brittannië?	In what year did India become independent of Britain?
GEEN	Hoeveel meter hoog is Uluru?	
	Hoeveel graden heeft een gestrekte hoek?	How many degrees does a stretched angle have?
	Hoeveel stippen staan er in totaal op een standaard set van 28 dominostenen?	How many dots are on a standard set of 28 dominoes?
GEEN	Hoeveel delen CO₂ per miljoen delen lucht mat NASA in 2024?	
	Hoeveel zelfportretten schilderde Rembrandt volgens gangbare catalogi?	How many self-portraits did Rembrandt paint according to common catalogues?
GEEN	Hoeveel eilanden telt Indonesië officieel (2024)?	
	Hoeveel kilometer lang is de kustlijn van Noorwegen ongeveer, inclusief eilanden?	How many kilometres long is the coastline of Norway, including islands?
	Hoeveel meter per uur kruipen tuinslakken maximaal?	How many meters per hour do garden snails crawl to maximum?
	Hoeveel bedrijven bevat de S&P 500-index?	How many companies does the S&P 500 index contain?
	In welk jaar werd de eerste succesvolle harttransplantatie uitgevoerd?	What year was the first successful heart transplant performed?
	Hoeveel aardse dagen duurt een jaar op Jupiter ongeveer?	How many earthly days on Jupiter last about a year?
	Hoeveel kilometer lang is de Yangtze ongeveer?	How many kilometres long is the Yangtze about?
	In welk jaar werd Microsoft Excel voor het eerst uitgebracht?	In what year was Microsoft Excel first released?
	Hoeveel letters heeft het Hebreeuwse alfabet?	How many letters does the Hebrew alphabet have?
	In welk jaar werd Kenia onafhankelijk van Groot-Brittannië?	In what year did Kenya become independent of Britain?
	Hoeveel klinknagels houden de metalen delen van de Eiffeltoren bij elkaar?	How many rivets do the metal parts of the Eiffel Tower hold together?
	Hoeveel procent van het menselijk lichaam bestaat ongeveer uit water?	How much of the human body is about water?
	Wat is de gemiddelde afstand van de aarde tot de zon?	What is the average distance from the Earth to the Sun?
GEEN	Hoeveel soldaten telde het Britse leger bij de Slag bij Waterloo ongeveer?	
	Hoeveel filialen heeft Decathlon wereldwijd ongeveer?	How many branches does Decathlon have worldwide?
GEEN	Hoeveel vakjes heeft een standaard Mens-erger-je-niet-bord?	
	Hoeveel letters heeft het Thaise alfabet?	How many letters does the Thai alphabet have?
	Hoeveel Grammy’s heeft Beyoncé volgens de stand na de Grammy Awards van 2025 gewonnen?	How many Grammys did Beyoncé win after the Grammy Awards of 2025?
	Hoeveel protonen heeft een neutraal atoom van goud?	How many protons has a neutral atom of gold?
	Hoeveel miljard neuronen (zenuwcellen) bevat het menselijk brein naar schatting?	How many billion neurons (nerve cells) is estimated to contain the human brain?
	Hoeveel werken schreef William Shakespeare volgens de meest gebruikte telling?	How many works did William Shakespeare write according to the most widely used count?
	Hoeveel prefecturen heeft Japan?	How many prefectures does Japan have?
	Hoeveel mannen ondertekenden de Amerikaanse Onafhankelijkheidsverklaring?	How many men signed the American Declaration of Independence?
	Hoeveel bulten heeft een kameel?	How many bumps does a camel have?
	Hoeveel kaarten bevat een standaard UNO-deck?	How many cards does a standard UNO deck contain?
	Hoeveel kamers heeft het Witte Huis?	How many rooms does the White House have?
	Uit hoeveel kuuroorden bestaat de UNESCO-site The Great Spa Towns of Europe?	How many spas is the UNESCO site The Great Spa Towns of Europe?
	Hoeveel afleveringen telt de iconische serie Fawlty Towers?	How many episodes does the iconic series Fawlty Towers have?
	Hoeveel diagonalen heeft een regelmatige tienhoek?	How many diagonals has a regular pentagon?
	Hoeveel kilometer lang is de langste grot ter wereld, Mammoth Cave, ongeveer?	How many kilometres long is the longest cave in the world, Mammoth Cave, about?
	Hoeveel leden telt het Europees Parlement in de zittingsperiode 2024–2029?	How many Members do the European Parliament have in the 2024th parliamentary term?
GEEN	Hoeveel meter hoog is de Sydney Tower?	
	Hoeveel landen ondertekenden de UNESCO-grondwet in 1945?	How many countries signed the UNESCO Constitution in 1945?
	Hoe lang was de langste man ooit in centimeters?	How long was the tallest man ever in centimeters?
	Hoeveel paar ribben heeft een mens normaal?	How many pairs of ribs does a person have normal?
	Hoeveel jaar bestond de Berlijnse Muur?	How many years was the Berlin Wall?
	Hoeveel manieren kun je 3 renners op een podium van 8 deelnemers indelen?	How many ways can you classify 3 riders on a stage of 8 participants?
	Hoeveel punten scoorde een team in de hoogste basketbalscore ooit?	How many points did a team score in the highest basketball score ever?
	Hoeveel dynastieën kent de traditionele indeling van het oude Egypte?	How many dynasties does the traditional classification of ancient Egypt know?
