Nr,Groep,In gebruik,Vraag NL,Antwoord,Oorspronkelijke bron,Gebruikte bron,Uitkomst,Bewijszin
1,geblokkeerd,daily,Hoeveel chromosomen heeft een gewone ui Allium cepa in een lichaamscel?,16,https://powo.science.kew.org/,http://web.archive.org/web/20260906023542/https://powo.science.kew.org/,niet gevonden,
5,geblokkeerd,daily,Hoeveel hoofdstukken bevat The Hobbit?,19,https://www.britannica.com/topic/The-Hobbit,http://web.archive.org/web/20260218024826/https://www.britannica.com/topic/The-Hobbit,niet gevonden,
22,geblokkeerd,daily,Hoeveel treden heeft de Burj Khalifa in Dubai?,2909,https://www.burjkhalifa.ae/en/the-tower/facts-figures/,http://web.archive.org/web/20241113185425/https://www.burjkhalifa.ae/en/the-tower/facts-figures/,niet gevonden,
31,geblokkeerd,daily,Hoeveel kilometer lang is het Baikalmeer ongeveer?,636,https://www.britannica.com/place/Lake-Baikal,https://www.britannica.com/place/Lake-Baikal,geen archiefkopie,
33,geblokkeerd,daily,Hoeveel meter diep is het Tanganyikameer op het diepste punt ongeveer?,1470,https://www.britannica.com/place/Lake-Tanganyika,http://web.archive.org/web/20260330211104/https://www.britannica.com/place/Lake-Tanganyika,niet gevonden,
34,geblokkeerd,daily,Hoeveel meter hoog is Angel Falls ongeveer?,979,https://www.britannica.com/place/Angel-Falls,http://web.archive.org/web/20260801160109/https://www.britannica.com/place/Angel-Falls,bevestigd,"The highest waterfall in the world, the cataract drops 3,212 feet (979 metres) and is 500 feet (150 metres) wide at the base."
37,geblokkeerd,daily,Wat is de diepte van het diepste zoetwatermeer ter wereld (Baikalmeer in Rusland) in meters?,1642,https://www.britannica.com/place/Lake-Baikal,https://www.britannica.com/place/Lake-Baikal,geen archiefkopie,
49,geblokkeerd,daily,Hoeveel procent van de bekende plant- en diersoorten leeft in tropische regenwouden?,50,https://www.britannica.com/science/tropical-rainforest,http://web.archive.org/web/20260813110137/https://www.britannica.com/science/tropical-rainforest,bevestigd,"Tropical rainforests today represent a treasure trove of biological heritage, and they also serve as sinks for more than 50 percent of all atmospheric carbon dioxide absorbed by plants annually."
60,geblokkeerd,daily,Hoeveel millimeter per jaar verschuiven de aardplaten gemiddeld?,25,https://whc.unesco.org/en/criteria/,http://web.archive.org/web/20260829085045/https://whc.unesco.org/en/criteria/,getal gezien,General Assembly 26 th GA (2027) 25 th GA (2025)
85,geblokkeerd,daily,Hoeveel letters heeft het Armeense alfabet?,39,https://www.britannica.com/topic/Armenian-language,http://web.archive.org/web/20260702221912/https://www.britannica.com/topic/Armenian-language,niet gevonden,
