Nr,Uitkomst,In gebruik,Vraag NL,Antwoord,Bron,Artikel,Bewijs
62,natellen,daily,Hoeveel kilometer fietst een Nederlander gemiddeld per jaar?,1065,https://nl.wikipedia.org/wiki/Nederlanders,Nederlanders,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
66,natellen,daily,Hoe groot was het grootste permanente IMAX-scherm in vierkante meter?,815,https://nl.wikipedia.org/wiki/IMAX,IMAX,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
68,geen bron,daily,Hoe lang waren de langste mouwen aan een kledingstuk ooit in meters?,51,,,
69,geen bron,daily,Hoe lang was de langste vrouw ooit in centimeters?,255,,,
72,geen bron,daily,Hoeveel procent van het lichaam was bedekt met tatoeages bij de meest getatoeëerde man?,97,,,
74,bevestigd,daily,Hoeveel LEGO-steentjes worden er wereldwijd per seconde gemaakt?,1300,https://nl.wikipedia.org/wiki/LEGO_Masters_%28Nederland/Vlaanderen%29,LEGO Masters (Nederland/Vlaanderen),Er meldden zich 1.300 mensen aan voor deelname.
95,natellen,daily,Wat is de totale lengte van alle onderzeese internetkabels op aarde in duizend kilometer?,1400,https://nl.wikipedia.org/wiki/Internet,Internet,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
104,geen bron,daily,Hoeveel is de som van de getallen 1 tot en met 100?,5050,,,
105,geen bron,daily,Hoeveel manieren kun je 3 renners op een podium van 8 deelnemers indelen?,336,,,
147,geen bron,puzzel,Hoeveel stappen per dag is de vaak geciteerde streefwaarde?,10000,,,
156,geen bron,puzzel,Hoeveel kilometer diep kan de potvis duiken?,2000,,,
188,geen bron,puzzel,Hoeveel minuten kook je een ei voor een zacht gekookt ei?,6,,,
190,geen bron,puzzel,Hoeveel shotjes espresso zitten er in een cappuccino?,1,,,
344,natellen,puzzel,Wat is de autorij-afstand van Amsterdam naar Parijs in km?,510,https://nl.wikipedia.org/wiki/Amsterdam,Amsterdam,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
381,geen bron,puzzel,Hoeveel centimeter lang is een standaard das bij het strikken?,145,,,
382,geen bron,puzzel,Hoeveel gaten heeft een standaard schoenveter meestal in één schoen?,12,,,
384,geen bron,puzzel,Hoeveel millimeter breed is een standaard herenhorlogeband?,22,,,
404,natellen,puzzel,Hoeveel kilometer per uur waait wind bij windkracht 8 volgens de schaal van Beaufort?,75,https://nl.wikipedia.org/wiki/Schaal_van_Beaufort,Schaal van Beaufort,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
411,natellen,puzzel,Hoeveel kg afval produceert een Nederlander gemiddeld per jaar?,449,https://nl.wikipedia.org/wiki/Nederlanders,Nederlanders,Artikel gaat over het onderwerp maar noemt het getal niet als getal; zelf natellen.
438,geen bron,puzzel,Hoe klein was het kleinste paard ooit in centimeters?,36,,,
446,geen bron,puzzel,Hoe lang was de langste snoepstaaf ooit in kilometer?,1,,,
451,geen bron,puzzel,Hoeveel kilometer was de langste zwemtocht ooit?,500,,,
452,geen bron,puzzel,Hoeveel marathons liep de persoon met het record voor de meeste marathons?,1000,,,
455,geen bron,puzzel,Hoeveel punten scoorde een team in de hoogste basketbalscore ooit?,186,,,
456,geen bron,puzzel,Hoeveel uur duurde het langste videogame-marathonrecord?,135,,,
457,geen bron,puzzel,Hoeveel voertuigen stonden er ongeveer in de langste file ooit?,12000,,,
