Nr,In gebruik,Vraag NL,Antwoord,Bron,Uitkomst,Bewijszin
1,daily,Hoeveel chromosomen heeft een gewone ui Allium cepa in een lichaamscel?,16,https://powo.science.kew.org/,onbereikbaar,HTTP 403
2,daily,Hoeveel duizend knipperbewegingen met je ogen maak je gemiddeld per dag?,15,https://www.aao.org/eye-health/tips-prevention/how-often-do-you-blink,niet gevonden,
3,daily,Hoeveel miljard neuronen (zenuwcellen) bevat het menselijk brein naar schatting?,86,https://www.ninds.nih.gov/health-information/patient-caregiver-education/brain-basics,onbereikbaar,HTTP 404
4,daily,In welk jaar werd het eerste succesvolle vaccin ontwikkeld?,1796,https://www.who.int/news-room/spotlight/history-of-vaccination/history-of-smallpox-vaccination,getal gezien,"It wasn&rsquo;t until May 1796 that the world&rsquo;s first vaccine was demonstrated, using the same principle as variolation but with a less dangerous viral source, cowpox."
5,daily,Hoeveel hoofdstukken bevat The Hobbit?,19,https://www.britannica.com/topic/The-Hobbit,onbereikbaar,HTTP 403
7,daily,Hoeveel kilo weegt een koningspinguin?,15,https://en.wikipedia.org/wiki/King_penguin,getal gezien,"[ 8 ] [ 14 ] [ 15 ] Distribution and habitat [ edit ] Colony on Salisbury Plain in South Georgia King penguins breed on subantarctic islands between 45 and 55°S, at the northern reaches of Antarctica , as well as Tierra del Fuego (Argentinian part), the Falkland Islands , and other temperate islands of the region."
8,daily,Hoeveel kilogram weegt de tong van een blauwe vinvis ongeveer?,2700,https://ich.unesco.org/en/intangible-heritage-domains-00052,niet gevonden,
9,daily,Hoeveel kilometer per uur zwemt een dolfijn op zijn snelst?,32,https://www.ifaw.org/international/journal/fastest-whales-dolphins-ocean,getal gezien,"Though they typically cruise at speeds around 8 kilometres per hour (5 miles per hour), they can accelerate to more than 32 kilometres per hour (20 miles per hour) ."
10,daily,Hoeveel poten heeft een krab?,10,https://en.wikipedia.org/wiki/Crab,bevestigd,"[ 10 ] Decapoda [ edit ] Further information: Decapoda Crab-like decapods span multiple groups: True crabs (Brachyura) are generally covered with a thick exoskeleton (jointed shell), composed primarily of highly mineralized chitin ."
11,daily,Hoeveel gram eiwit bevat een Amerikaanse McDonald’s Big Mac?,25,https://www.mcdonalds.com/us/en-us/product/big-mac.html,onbereikbaar,The read operation timed out
12,daily,Hoeveel gram suiker zit er in een blikje Coca-Cola van 330 ml?,35,https://www.coca-cola.com/ng/en/about-us/faq/how-much-sugar-is-in-cocacola-original-taste,getal gezien,35 g of sugar amounts to about 7 teaspoons of sugar.
13,daily,Hoeveel kilocalorieën bevat een Amerikaanse McDonald’s Big Mac?,580,https://www.mcdonalds.com/us/en-us/product/big-mac.html,onbereikbaar,The read operation timed out
14,daily,Hoeveel afleveringen telt de iconische serie Fawlty Towers?,12,Kan je zelf opzoeken,geen url,Kan je zelf opzoeken
16,daily,Hoeveel Muzen (dochters van Zeus) telt de Griekse mythologie?,9,https://www.genome.gov/about-genomics/fact-sheets/Deoxyribonucleic-Acid-Fact-Sheet,niet gevonden,
21,daily,Hoeveel torens heeft het Kremlin in Moskou?,20,https://www.kreml.ru/en/around-kremlin/towers/,onbereikbaar,HTTP 404
22,daily,Hoeveel treden heeft de Burj Khalifa in Dubai?,2909,https://www.burjkhalifa.ae/en/the-tower/facts-figures/,onbereikbaar,HTTP 403
24,daily,Hoeveel treden heeft het Empire State Building van straatniveau tot het observatiedek?,1860,https://www.esbnyc.com/about/facts-figures,getal gezien,"The Empire State Building has 103 floors, with 1,860 steps from street level to the 102nd floor observation deck."
29,daily,Wat is de lengte van het Panamakanaal van de Atlantische naar de Stille Oceaan in km?,82,https://pancanal.com/en/history-of-the-panama-canal/,niet gevonden,
31,daily,Hoeveel kilometer lang is het Baikalmeer ongeveer?,636,https://www.britannica.com/place/Lake-Baikal,onbereikbaar,HTTP 403
33,daily,Hoeveel meter diep is het Tanganyikameer op het diepste punt ongeveer?,1470,https://www.britannica.com/place/Lake-Tanganyika,onbereikbaar,HTTP 403
34,daily,Hoeveel meter hoog is Angel Falls ongeveer?,979,https://www.britannica.com/place/Angel-Falls,onbereikbaar,HTTP 403
35,daily,Hoeveel procent van Antarctica is met ijs bedekt?,98,https://www.bas.ac.uk/about/about-antarctica/antarctica-facts/,niet gevonden,
37,daily,Wat is de diepte van het diepste zoetwatermeer ter wereld (Baikalmeer in Rusland) in meters?,1642,https://www.britannica.com/place/Lake-Baikal,onbereikbaar,HTTP 403
38,daily,Hoeveel dagen duurde de reis van de Mayflower naar Noord-Amerika?,66,https://plimoth.org/learn/just-kids/homework-help/mayflower,getal gezien,"The Journey Would you have liked to travel on a small ship with more than 100 other people, all of their belongings, and possibly some farm animals – for 66 days?"
42,daily,In welk jaar werd de eerste moderne volkstelling gehouden?,1665,https://www.ons.gov.uk/census/aboutcensus,niet gevonden,
45,daily,Hoeveel ton goud wordt wereldwijd jaarlijks gewonnen?,3000,https://www.usgs.gov/centers/national-minerals-information-center/gold-statistics-and-information,niet gevonden,
46,daily,Welk percentage van het wereldwijde cement wordt geproduceerd in China?,55,https://www.usgs.gov/centers/national-minerals-information-center/cement-statistics-and-information,niet gevonden,
47,daily,Hoeveel filialen heeft Decathlon wereldwijd ongeveer?,1700,https://www.decathlon-united.media/,niet gevonden,
49,daily,Hoeveel procent van de bekende plant- en diersoorten leeft in tropische regenwouden?,50,https://www.britannica.com/science/tropical-rainforest,onbereikbaar,HTTP 403
50,daily,Hoeveel procent van het Great Barrier Reef bestaat uit koraalriffen?,7,https://www2.gbrmpa.gov.au/about/reef,onbereikbaar,The read operation timed out
51,daily,Welk percentage van het aardoppervlak bestaat uit land?,29,https://oceanservice.noaa.gov/facts/oceanwater.html,niet gevonden,
52,daily,Welk percentage van het aardoppervlak bestaat uit oceanen en zeeën?,71,https://oceanservice.noaa.gov/facts/oceanwater.html,niet gevonden,
53,daily,Welk percentage van het zoete water zit vast in ijs en gletsjers?,69,https://www.usgs.gov/special-topics/water-science-school/science/where-earths-water,niet gevonden,
57,daily,Hoeveel toetsen heeft een standaard MIDI-pianotoetsenbord met vijf octaven?,61,https://midi.org/midi-1-0,niet gevonden,
60,daily,Hoeveel millimeter per jaar verschuiven de aardplaten gemiddeld?,25,https://whc.unesco.org/en/criteria/,onbereikbaar,HTTP 403
73,daily,Hoeveel protonen heeft een neutraal atoom van goud?,79,https://www.rsc.org/periodic-table/element/79/gold,bevestigd,Allotropes Au Gold 79 196.967 Glossary Group A vertical column in the periodic table.
79,daily,Hoeveel spelers staan er per team op het veld bij honkbal?,9,https://www.mlb.com/official-information/official-rules,onbereikbaar,HTTP 404
84,daily,Wat is de geschatte leeftijd van de planeet Aarde in miljoenen jaren?,4540,https://pubs.usgs.gov/gip/geotime/age.html,niet gevonden,
85,daily,Hoeveel letters heeft het Armeense alfabet?,39,https://www.britannica.com/topic/Armenian-language,onbereikbaar,HTTP 403
87,daily,Hoeveel letters heeft het Thaise alfabet?,44,https://www.britannica.com/topic/Thai-language,onbereikbaar,HTTP 403
89,daily,Hoeveel naamvallen heeft het Fins?,15,https://www.britannica.com/topic/Finnish-language,onbereikbaar,HTTP 403
91,daily,In welk jaar werd de eerste digitale camera ontwikkeld?,1975,https://www.kodak.com/en/company/page/first-digital-camera/,onbereikbaar,HTTP 404
93,daily,In welk jaar werd de eerste internationale telefonische verbinding gemaakt?,1892,https://www.britannica.com/technology/telephone,onbereikbaar,HTTP 403
94,daily,In welk jaar werd de eerste televisie-uitzending verzorgd?,1925,https://www.bbc.com/historyofthebbc/research/general/first-tv-transmission,onbereikbaar,HTTP 404
97,daily,Hoeveel metrostations heeft de Parijse metro?,308,https://www.ratp.fr/en/discover,onbereikbaar,HTTP 403
102,daily,Hoeveel diagonalen heeft een regelmatige tienhoek?,35,Wolfram MathWorld — Polygon diagonal,geen url,Wolfram MathWorld — Polygon diagonal
103,daily,Hoeveel diagonalen heeft een regelmatige twintighoek?,170,https://mathworld.wolfram.com/PolygonDiagonal.html,niet gevonden,
106,puzzel,Hoeveel bloedgroepen kent het ABO-systeem?,4,https://www.nhs.uk/conditions/blood-groups/,bevestigd,"﻿ Blood groups - NHS Skip to main content NHS Search the NHS website Search Health A to Z NHS services Healthy living Mental health Care and support Browse More Home Health A to Z Tests and treatments A to Z Back to Tests and treatments A to Z Back Blood groups There are 4 main blood groups (types of blood) – A, B, AB "
107,puzzel,Hoeveel botten bevat één menselijke hand inclusief de pols?,27,https://my.clevelandclinic.org/health/body/25005-hand-anatomy,onbereikbaar,HTTP 404
108,puzzel,Hoeveel botten heeft een volwassen menselijk lichaam?,206,https://health.clevelandclinic.org/how-many-bones-are-in-the-human-body,onbereikbaar,HTTP 404
109,puzzel,Hoeveel botten heeft een volwassen menselijke schedel volgens de gebruikelijke anatomische indeling?,22,https://my.clevelandclinic.org/health/body/21796-skull,onbereikbaar,HTTP 404
110,puzzel,"Hoeveel centimeter meten de dunne en dikke darm samen, volledig uitgestrekt?",750,https://whc.unesco.org/en/list/1187/,onbereikbaar,HTTP 403
111,puzzel,Hoeveel chromosomen bevat een menselijke eicel vóór de bevruchting?,23,https://www.genome.gov/genetics-glossary/Chromosome,niet gevonden,
112,puzzel,Hoeveel chromosomen heeft een gewone tuinerwt Pisum sativum in een lichaamscel?,14,https://powo.science.kew.org/,onbereikbaar,HTTP 403
