Nr,In gebruik,Categorie,Vraag NL,Antwoord,Welke bron nodig,Waar te vinden,Bron (door jou)
62,daily,Vervoer,Hoeveel kilometer fietst een Nederlander gemiddeld per jaar?,1065,CBS of nationaal statistiekbureau,CBS StatLine — deze cijfers staan niet op Wikipedia.,
411,puzzel,Milieu en duurzaamheid,Hoeveel kg afval produceert een Nederlander gemiddeld per jaar?,449,CBS of nationaal statistiekbureau,CBS StatLine — deze cijfers staan niet op Wikipedia.,
1228,—,Dagelijks leven,Hoeveel procent van de Nederlanders woont in een rijtjeshuis?,30,CBS of nationaal statistiekbureau,CBS StatLine — deze cijfers staan niet op Wikipedia.,
1229,—,Vervoer,Hoeveel procent van de Nederlanders fietst dagelijks?,60,CBS of nationaal statistiekbureau,CBS StatLine — deze cijfers staan niet op Wikipedia.,
1231,—,Geografie,Hoeveel procent van de Nederlanders woont in de Randstad?,40,CBS of nationaal statistiekbureau,CBS StatLine — deze cijfers staan niet op Wikipedia.,
67,daily,Records en vergelijkingen,Hoe lang duurde de langste voetbalwedstrijd ooit in minuten?,203,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
68,daily,Records en vergelijkingen,Hoe lang waren de langste mouwen aan een kledingstuk ooit in meters?,51,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
69,daily,Records en vergelijkingen,Hoe lang was de langste vrouw ooit in centimeters?,255,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
70,daily,Records en vergelijkingen,Hoe zwaar was de zwaarste hamburger ooit in kilogram?,1164,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
71,daily,Records en vergelijkingen,Hoe zwaar was de zwaarste pompoen ooit in kilogram?,1247,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
383,puzzel,Mode en lifestyle,Hoeveel meter lang was de langste trouwjurkstaart volgens Guinness World Records?,8100,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
434,puzzel,Records en vergelijkingen,Hoe groot was de grootste pizza ooit in vierkante meter?,1297,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
435,puzzel,Records en vergelijkingen,Hoe hoog was de hoogste hond ooit in centimeters?,112,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
436,puzzel,Records en vergelijkingen,Hoe hoog was de hoogste zandsculptuur ooit in meters?,21,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
437,puzzel,Records en vergelijkingen,Hoe hoog was het hoogste paard ooit in centimeters?,219,Guinness World Records,guinnessworldrecords.com — records staan niet op Wikipedia.,
